tenant,pre-pr-issue-id,vendor_type,status,created_on,updated_on,update_query
th214,818992,PRIMARY,CREATED,2025-08-12 11:40:16.804000,2025-08-12 11:40:20.423000,UPDATE th214.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 818992 AND vendor_type = 'PRIMARY';
th214,819010,PRIMARY,CREATED,2025-08-12 12:05:30.742000,2025-08-12 12:05:39.343000,UPDATE th214.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 819010 AND vendor_type = 'PRIMARY';
th214,819012,PRIMARY,CREATED,2025-08-12 12:13:53.655000,2025-08-12 12:14:17.055000,UPDATE th214.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 819012 AND vendor_type = 'PRIMARY';
th224,577003,PRIMARY,CREATED,2025-08-12 06:53:32.098000,2025-08-12 06:53:32.570000,UPDATE th224.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 577003 AND vendor_type = 'PRIMARY';
th224,577004,PRIMARY,CREATED,2025-08-12 06:54:31.386000,2025-08-12 06:54:34.577000,UPDATE th224.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 577004 AND vendor_type = 'PRIMARY';
th224,577081,PRIMARY,CREATED,2025-08-12 07:09:17.717000,2025-08-12 07:09:39.387000,UPDATE th224.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 577081 AND vendor_type = 'PRIMARY';
th224,577233,PRIMARY,CREATED,2025-08-12 08:52:27.757000,2025-08-12 08:52:34.684000,UPDATE th224.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 577233 AND vendor_type = 'PRIMARY';
th224,577283,PRIMARY,CREATED,2025-08-12 09:03:42.667000,2025-08-12 09:03:42.795000,UPDATE th224.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 577283 AND vendor_type = 'PRIMARY';
th224,577284,PRIMARY,CREATED,2025-08-12 09:04:34.547000,2025-08-12 09:04:36.949000,UPDATE th224.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 577284 AND vendor_type = 'PRIMARY';
th224,577285,PRIMARY,CREATED,2025-08-12 09:15:17.523000,2025-08-12 09:15:19.089000,UPDATE th224.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 577285 AND vendor_type = 'PRIMARY';
th224,577361,PRIMARY,CREATED,2025-08-12 10:11:20.642000,2025-08-12 10:11:28.609000,UPDATE th224.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 577361 AND vendor_type = 'PRIMARY';
th224,577480,PRIMARY,CREATED,2025-08-12 11:10:26.271000,2025-08-12 11:10:28.363000,UPDATE th224.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 577480 AND vendor_type = 'PRIMARY';
th224,577498,PRIMARY,CREATED,2025-08-12 11:29:26.748000,2025-08-12 11:29:29.030000,UPDATE th224.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 577498 AND vendor_type = 'PRIMARY';
th401,100578,PRIMARY,CREATED,2025-08-12 07:47:59.387000,2025-08-12 07:48:42.834000,UPDATE th401.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 100578 AND vendor_type = 'PRIMARY';
th401,100579,PRIMARY,CREATED,2025-08-12 07:48:41.910000,2025-08-12 07:48:47.281000,UPDATE th401.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 100579 AND vendor_type = 'PRIMARY';
th402,116949,PRIMARY,CREATED,2025-08-12 07:13:44.542000,2025-08-12 07:13:49.958000,UPDATE th402.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 116949 AND vendor_type = 'PRIMARY';
th403,16801,PRIMARY,CREATED,2025-08-12 06:50:37.593000,2025-08-12 06:51:47.885000,UPDATE th403.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 16801 AND vendor_type = 'PRIMARY';
th403,16802,PRIMARY,CREATED,2025-08-12 06:50:50.374000,2025-08-12 06:51:50.619000,UPDATE th403.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 16802 AND vendor_type = 'PRIMARY';
th403,16804,PRIMARY,CREATED,2025-08-12 06:52:10.807000,2025-08-12 06:52:11.950000,UPDATE th403.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 16804 AND vendor_type = 'PRIMARY';
th403,16805,PRIMARY,CREATED,2025-08-12 06:52:23.839000,2025-08-12 06:52:26.057000,UPDATE th403.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 16805 AND vendor_type = 'PRIMARY';
th405,15021,PRIMARY,CREATED,2025-08-12 07:18:02.030000,2025-08-12 07:18:25.832000,UPDATE th405.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 15021 AND vendor_type = 'PRIMARY';
th405,15063,PRIMARY,CREATED,2025-08-12 11:36:07.412000,2025-08-12 11:36:08.516000,UPDATE th405.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 15063 AND vendor_type = 'PRIMARY';
th408,42063,PRIMARY,CREATED,2025-08-12 09:47:58.703000,2025-08-12 09:48:00.915000,UPDATE th408.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 42063 AND vendor_type = 'PRIMARY';
th408,42071,PRIMARY,CREATED,2025-08-12 09:55:55.282000,2025-08-12 09:55:56.139000,UPDATE th408.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 42071 AND vendor_type = 'PRIMARY';
th408,42089,PRIMARY,CREATED,2025-08-12 10:01:09.126000,2025-08-12 10:01:09.912000,UPDATE th408.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 42089 AND vendor_type = 'PRIMARY';
th408,42090,PRIMARY,CREATED,2025-08-12 10:02:22.877000,2025-08-12 10:02:24.506000,UPDATE th408.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 42090 AND vendor_type = 'PRIMARY';
th408,42091,PRIMARY,CREATED,2025-08-12 10:03:34.717000,2025-08-12 10:04:25.584000,UPDATE th408.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 42091 AND vendor_type = 'PRIMARY';
th408,42106,PRIMARY,CREATED,2025-08-12 10:27:44.757000,2025-08-12 10:27:47.665000,UPDATE th408.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 42106 AND vendor_type = 'PRIMARY';
th408,42109,PRIMARY,CREATED,2025-08-12 10:33:02.706000,2025-08-12 10:33:05.233000,UPDATE th408.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 42109 AND vendor_type = 'PRIMARY';
th408,42110,PRIMARY,CREATED,2025-08-12 10:34:04.488000,2025-08-12 10:34:07.155000,UPDATE th408.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 42110 AND vendor_type = 'PRIMARY';
th408,42111,PRIMARY,CREATED,2025-08-12 10:35:39.262000,2025-08-12 10:35:47.698000,UPDATE th408.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 42111 AND vendor_type = 'PRIMARY';
th408,42112,PRIMARY,CREATED,2025-08-12 10:36:43.638000,2025-08-12 10:36:50.308000,UPDATE th408.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 42112 AND vendor_type = 'PRIMARY';
th409,35863,PRIMARY,CREATED,2025-08-12 12:14:25.559000,2025-08-13 07:48:19.007000,UPDATE th409.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 35863 AND vendor_type = 'PRIMARY';
th409,35866,PRIMARY,CREATED,2025-08-12 12:39:15.302000,2025-08-13 07:19:09.054000,UPDATE th409.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 35866 AND vendor_type = 'PRIMARY';
th411,230126,PRIMARY,CREATED,2025-08-12 06:32:31.937000,2025-08-12 06:32:36.854000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230126 AND vendor_type = 'PRIMARY';
th411,230207,PRIMARY,CREATED,2025-08-12 07:06:19.021000,2025-08-12 07:06:19.725000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230207 AND vendor_type = 'PRIMARY';
th411,230208,PRIMARY,CREATED,2025-08-12 07:07:03.511000,2025-08-12 07:07:06.562000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230208 AND vendor_type = 'PRIMARY';
th411,230209,PRIMARY,CREATED,2025-08-12 07:09:16.228000,2025-08-12 12:02:37.225000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230209 AND vendor_type = 'PRIMARY';
th411,230210,PRIMARY,CREATED,2025-08-12 07:10:11.999000,2025-08-12 12:02:37.233000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230210 AND vendor_type = 'PRIMARY';
th411,230216,PRIMARY,CREATED,2025-08-12 07:13:52.736000,2025-08-12 07:14:03.067000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230216 AND vendor_type = 'PRIMARY';
th411,230220,PRIMARY,CREATED,2025-08-12 07:19:13.840000,2025-08-12 12:02:37.234000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230220 AND vendor_type = 'PRIMARY';
th411,230224,PRIMARY,CREATED,2025-08-12 07:25:24.576000,2025-08-12 12:02:37.242000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230224 AND vendor_type = 'PRIMARY';
th411,230373,PRIMARY,CREATED,2025-08-12 10:05:51.673000,2025-08-12 10:05:52.659000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230373 AND vendor_type = 'PRIMARY';
th411,230374,PRIMARY,CREATED,2025-08-12 10:07:30.379000,2025-08-12 12:02:37.243000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230374 AND vendor_type = 'PRIMARY';
th411,230421,PRIMARY,CREATED,2025-08-12 10:20:45.694000,2025-08-12 10:20:48.569000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230421 AND vendor_type = 'PRIMARY';
th411,230479,PRIMARY,CREATED,2025-08-12 10:51:42.793000,2025-08-12 10:51:46.170000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230479 AND vendor_type = 'PRIMARY';
th411,230480,PRIMARY,CREATED,2025-08-12 10:52:18.760000,2025-08-12 10:52:23.993000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230480 AND vendor_type = 'PRIMARY';
th411,230481,PRIMARY,CREATED,2025-08-12 10:54:36.453000,2025-08-12 10:54:40.894000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230481 AND vendor_type = 'PRIMARY';
th411,230482,PRIMARY,CREATED,2025-08-12 10:55:19.006000,2025-08-12 10:55:20.764000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230482 AND vendor_type = 'PRIMARY';
th411,230484,PRIMARY,CREATED,2025-08-12 10:56:12.059000,2025-08-12 10:56:33.902000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230484 AND vendor_type = 'PRIMARY';
th411,230485,PRIMARY,CREATED,2025-08-12 10:57:58.852000,2025-08-12 10:58:02.060000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230485 AND vendor_type = 'PRIMARY';
th411,230490,PRIMARY,CREATED,2025-08-12 11:01:17.552000,2025-08-12 11:01:31.747000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230490 AND vendor_type = 'PRIMARY';
th411,230491,PRIMARY,CREATED,2025-08-12 11:03:02.796000,2025-08-12 12:02:37.252000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230491 AND vendor_type = 'PRIMARY';
th411,230492,PRIMARY,CREATED,2025-08-12 11:03:06.048000,2025-08-12 11:03:21.402000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230492 AND vendor_type = 'PRIMARY';
th411,230493,PRIMARY,CREATED,2025-08-12 11:04:57.727000,2025-08-12 11:05:03.702000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230493 AND vendor_type = 'PRIMARY';
th411,230494,PRIMARY,CREATED,2025-08-12 11:05:03.104000,2025-08-12 11:05:06.701000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230494 AND vendor_type = 'PRIMARY';
th411,230495,PRIMARY,CREATED,2025-08-12 11:06:55.613000,2025-08-12 12:02:37.253000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230495 AND vendor_type = 'PRIMARY';
th411,230503,PRIMARY,CREATED,2025-08-12 11:22:47.247000,2025-08-12 11:23:09.865000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230503 AND vendor_type = 'PRIMARY';
th411,230504,PRIMARY,CREATED,2025-08-12 11:24:53.438000,2025-08-12 11:25:27.609000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230504 AND vendor_type = 'PRIMARY';
th411,230505,PRIMARY,CREATED,2025-08-12 11:25:48.228000,2025-08-12 11:25:49.359000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230505 AND vendor_type = 'PRIMARY';
th411,230532,PRIMARY,CREATED,2025-08-12 11:57:04.184000,2025-08-12 12:02:37.254000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230532 AND vendor_type = 'PRIMARY';
th411,230534,PRIMARY,CREATED,2025-08-12 11:59:17.375000,2025-08-12 11:59:19.446000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230534 AND vendor_type = 'PRIMARY';
th411,230535,PRIMARY,CREATED,2025-08-12 12:00:25.007000,2025-08-12 12:00:33.518000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230535 AND vendor_type = 'PRIMARY';
th411,230536,PRIMARY,CREATED,2025-08-12 12:01:07.541000,2025-08-12 12:01:13.171000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230536 AND vendor_type = 'PRIMARY';
th411,230537,PRIMARY,CREATED,2025-08-12 12:03:10.484000,2025-08-12 12:03:42.488000,UPDATE th411.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 230537 AND vendor_type = 'PRIMARY';
