debit_note_number,dest_tenant,ucode,batch,amountInPR,quantityInPR,amountInInvoice,quantityInInvoice,deltaInAmt,deltaInQty
P0434-25A0000004,th409,022236,2430211S,12820.73,300.0,12899.04,300,-78.31000000000131,0.0
DR0405-25A000066,th205,074475,M233,1240.85,10.0,1254.29,10,-13.440000000000055,0.0
P0434-25A0000004,th409,I00175,GTF3705A,31326.03,99.0,34214.24,99,-2888.209999999999,0.0
P0434-25A0000002,th409,S04683,5057C59910,14114.689999999999,240.0,14509.82,240,-395.130000000001,0.0
P0434-25A0000004,th409,255148,824D365,7520.860000000001,60.0,8112.38,60,-591.5199999999995,0.0
DR0421-25A000005,th435,P70888,259T,747.98,5.0,730.45,5,17.529999999999973,0.0
DR0421-25A000007,th435,I14733,ZCL24031,459.09000000000003,4.0,439.32,4,19.77000000000004,0.0
DR0421-25A000024,th435,I06518,24S2GCA429,1832.93,12.0,1900.82,12,-67.88999999999987,0.0
DR0413-25A001081,th214,I09426,490507D7,531.8199999999999,3.0,492.42,3,39.39999999999992,0.0
DR0401-25A000029,th224,196084,23461735,456.55,3.0,438.99,3,17.560000000000002,0.0
PD0407-25A000553,th224,169990,RG62240017,2445.6600000000003,8.0,2822.37,8,-376.7099999999996,0.0
P0405-25A0000110,th427,193362,344E001,206.17000000000002,9.0,213.80,9,-7.6299999999999955,0.0
DR0405-25A000071,th427,Z20554,24S2GCA397,1059.46,10.0,1172.53,10,-113.06999999999994,0.0
PD0407-25A000556,th427,A91981,GCLE2403,306.03,4.0,297.12,4,8.909999999999968,0.0
DR0401-25A000030,th427,P70888,6B8R,309.71000000000004,2.0,327.24,2,-17.529999999999973,0.0
DR0434-25A000008,th410,268507,SIF2699A,2224.98,20.0,2462.43,20,-237.44999999999982,0.0
PD0214-25A005203,th427,U28482,05231737,633.82,10.0,701.46,10,-67.63999999999999,0.0
DR0401-25A000030,th427,Z86191,E16GL23316,29653.72,192.0,29635.20,192,18.520000000000437,0.0
DR0401-25A000030,th427,068040,JKBS22003,165.17,3.0,177.88,3,-12.710000000000008,0.0
P0428-25A0000580,th427,138015,074E013,891.0699999999999,25.0,952.28,25,-61.210000000000036,0.0
DR0224-25A000509,th427,E95276,23S2GTC671,9732.76,63.0,10818.26,63,-1085.5,0.0
DR0421-25A000012,th429,I36242,11240368,1431.0900000000001,21.0,1422.96,21,8.13000000000011,0.0
P0214-25A0002301,th213,A43236,VRA23005,2166.34,18.0,2288.97,18,-122.62999999999965,0.0
DR0421-25A000012,th429,038885,24540388,419.33,4.0,455.97,4,-36.64000000000004,0.0
P0214-25A0002190,th213,329573,PMC1601,1983.2600000000002,9.0,2052.85,9,-69.58999999999969,0.0
DR0214-25A004885,th213,Y73827,MT233754,1537.93,11.0,1611.46,11,-73.52999999999997,0.0
P0214-25A0002432,th213,T33913,GO71034,671.02,28.0,720.65,28,-49.629999999999995,0.0
P0214-25A0002326,th213,Z37149,LHSPC002,2351.23,19.0,2462.31,19,-111.07999999999993,0.0
DR0421-25A000020,th429,265173,11240552,5933.24,21.0,6607.47,21,-674.2300000000005,0.0
P0214-25A0002120,th213,A41378,AFB23X88,5032.84,23.0,11575.51,23,-6542.67,0.0
P0214-25A0002433,th213,241367,SCT006,1145.15,17.0,1235.70,17,-90.54999999999995,0.0
P0214-25A0002307,th213,B03442,23520596,1114.1399999999999,18.0,1134.40,18,-20.26000000000022,0.0
DR0421-25A000020,th429,I02289,S2487021E,489.09,3.0,526.71,3,-37.62000000000006,0.0
DR0214-25A004408,th213,222309,PEA0134,3979.8500000000004,15.0,4008.48,15,-28.629999999999654,0.0
P0214-25A0002430,th213,N76954,DRT24040134,5984.280000000001,16.0,6283.83,16,-299.5499999999993,0.0
P0214-25A0002295,th213,N16813,PL4-0171,3475.63,32.0,3686.51,32,-210.8800000000001,0.0
P0214-25A0002218,th213,J75179,PLKNHC01,2455.8700000000003,19.0,2571.90,19,-116.02999999999975,0.0
P0214-25A0002118,th213,Z23395,MT234846,684.1,21.0,1436.60,21,-752.4999999999999,0.0
P0214-25A0002273,th213,G12286,APC02565,5807.13,15.0,8710.70,15,-2903.5700000000006,0.0
P0214-25A0002393,th213,M60094,4690018,40891.09,35.0,45486.11,35,-4595.020000000004,0.0
P0214-25A0002229,th213,B26562,DN124016,4032.0699999999997,11.0,4268.86,11,-236.78999999999996,0.0
P0214-25A0002120,th213,A41378,AFB23X87,6039.4,13.0,6542.68,13,-503.28000000000065,0.0
P0214-25A0002298,th213,I06020,ALQ24003-,2918.68,24.0,2937.35,24,-18.670000000000073,0.0
DR0435-25A000408,th429,L13756,CRN153004BH,835.76,9.0,824.76,9,11.0,0.0
P0214-25A0002254,th213,Y06203,NLUA2401,122.66,4.0,129.61,4,-6.950000000000017,0.0
DR0401-25A000045,th425,227056,VAA2387,623.31,3.0,430.93,2,192.37999999999994,1.0
DR0214-25A004240,th213,I12928,M001,2214.0,24.0,2419.20,24,-205.19999999999982,0.0
DR0421-25A000012,th429,171900,TD4043,488.42,8.0,538.94,8,-50.52000000000004,0.0
DR0214-25A004485,th213,A41378,AFB23X88,4924.99,10.0,5032.83,10,-107.84000000000015,0.0
P0214-25A0002260,th213,I37677,V2310402,299.38,9.0,310.46,9,-11.079999999999984,0.0
P0214-25A0002324,th213,B41532,DAB-2401,11685.380000000001,23.0,13662.07,23,-1976.6899999999987,0.0
P0214-25A0002299,th213,S24407,BPL233757,1660.08,13.0,1847.07,13,-186.99,0.0
DR0214-25A004293,th213,E01427,B2310473G,3090.13,47.0,3214.72,47,-124.58999999999969,0.0
DR0421-25A000020,th429,I01918,I304954,2603.53,16.0,2851.79,16,-248.25999999999976,0.0
P0214-25A0002167,th213,Y19045,NEZC2401,1057.72,16.0,1692.36,16,-634.6399999999999,0.0
P0214-25A0002257,th213,I33223,NHT-8321,1127.95,10.0,1145.43,10,-17.480000000000018,0.0
P0214-25A0002124,th213,185235,MRJ0728,295.12,18.0,531.22,18,-236.10000000000002,0.0
P0214-25A0002303,th213,Q09076,S242401C,4173.19,28.0,4626.92,28,-453.7300000000005,0.0
DR0421-25A000020,th429,264772,GAZE0012,1114.3400000000001,9.0,1215.65,9,-101.30999999999995,0.0
DR0421-25A000020,th429,107600,GTF1442A,280.75,2.0,296.64,2,-15.889999999999986,0.0
DR0421-25A000012,th429,C07955,SIF0998A,371.12,2.0,340.48,2,30.639999999999986,0.0
P0214-25A0002310,th213,D12305,SCE220548,4943.48,12.0,5273.05,12,-329.5700000000006,0.0
