source_debit_note_number,source_tenant,dest_tenant,
P0213-25A0000031,th213,th429,
DR0402-25A000076,th402,th403,
P0435-25A0000025,th435,th214,
P0411-25A0000085,th411,th403,
DR0428-25A000426,th428,th224,
DR0401-25A000045,th401,th425,
P0401-25A0000150,th401,th428,
DR0428-25A000426,th428,th224,
DR0402-25A000076,th402,th403,
DR0428-25A000374,th428,th224,
DR0224-25A000741,th224,th437,
DR0401-25A000040,th401,th424,
DR0411-25A000063,th411,th402,
P0223-25A0000001,th223,th427,
DR0402-25A000076,th402,th403,
P0213-25A0000009,th213,th429,
P0429-25A0000076,th429,th435,
P0413-25A0000309,th413,th429,
P0213-25A0000014,th213,th429,
P0223-25A0000001,th223,th427,
P0401-25A0000150,th401,th428,
DR0435-25A000399,th435,th214,
DR0401-25A000045,th401,th425,
DR0428-25A000368,th428,th224,
DR0428-25A000372,th428,th224,
P0429-25A0000075,th429,th214,
P0401-25A0000175,th401,th417,
DR0401-25A000029,th401,th224,
DR0401-25A000032,th401,th402,
P0425-25A0000081,th425,th214,
P0435-25A0000025,th435,th214,
P0223-25A0000001,th223,th427,
DR0401-25A000032,th401,th402,
P0223-25A0000001,th223,th427,
DR0213-25A000019,th213,th435,
DR0428-25A000372,th428,th224,
P0223-25A0000001,th223,th427,
DR0224-25A000741,th224,th437,
P0223-25A0000001,th223,th427,
P0401-25A0000171,th401,th424,
P0425-25A0000100,th425,th205,
P0223-25A0000001,th223,th427,
P0401-25A0000150,th401,th428,
DR0401-25A000045,th401,th425,
DR0428-25A000368,th428,th224,
P0223-25A0000001,th223,th427,
P0435-25A0000039,th435,th214,
P0223-25A0000001,th223,th427,
P0435-25A0000035,th435,th429,
DR0428-25A000374,th428,th224,
P0401-25A0000181,th401,th224,
DR0428-25A000368,th428,th224,
P0223-25A0000001,th223,th427,
DR0411-25A000063,th411,th402,
DR0403-25A000021,th403,th411,
DR0428-25A000368,th428,th224,
DR0428-25A000372,th428,th224,
P0223-25A0000001,th223,th427,
DR0428-25A000374,th428,th224,
P0401-25A0000179,th401,th425,
DR0224-25A000741,th224,th437,
DR0411-25A000063,th411,th402,
DR0428-25A000368,th428,th224,
DR0428-25A000372,th428,th224,
DR0428-25A000372,th428,th224,
DR0224-25A000741,th224,th437,
P0435-25A0000041,th435,th214,
DR0411-25A000063,th411,th402,
P0223-25A0000001,th223,th427,
P0223-25A0000001,th223,th427,
P0435-25A0000040,th435,th429,
P0223-25A0000001,th223,th427,
DR0428-25A000372,th428,th224,
DR0428-25A000374,th428,th224,
P0435-25A0000026,th435,th429,
P0213-25A0000037,th213,th429,
DR0402-25A000076,th402,th403,
P0401-25A0000150,th401,th428,
P0223-25A0000001,th223,th427,
DR0409-25A000002,th409,th411,
DR0402-25A000076,th402,th403,
DR0428-25A000374,th428,th224,
P0435-25A0000041,th435,th214,
DR0401-25A000045,th401,th425,
DR0401-25A000032,th401,th402,
P0401-25A0000178,th401,th411,
DR0428-25A000372,th428,th224,
DR0428-25A000372,th428,th224,
P0223-25A0000001,th223,th427,
DR0428-25A000426,th428,th224,
DR0428-25A000372,th428,th224,
DR0401-25A000045,th401,th425,
DR0224-25A000148,th224,th223,
DR0428-25A000368,th428,th224,
P0224-25A0000128,th224,th223,
P0401-25A0000163,th401,th205,
DR0224-25A000070,th224,th223,
DR0413-25A000965,th413,th429,
DR0224-25A000075,th224,th223,
PD0407-25A000577,th407,th223,
DR0224-25A000071,th224,th223,
P0434-25A0000010,th434,th409,
P0402-25A0000086,th402,th411,
P0434-25A0000004,th434,th409,
DR0224-25A000152,th224,th223,
P0410-25A0000078,th410,th411,
DR0417-25A000206,th417,th418,
DR0401-25A000042,th401,th418,
DR0224-25A000509,th224,th427,
U0224-25A0000069,th224,th223,
P0417-25A0000040,th417,th429,
U0224-25A0000031,th224,th223,
P0434-25A0000010,th434,th409,
PD0406-25A000775,th406,th411,
P0410-25A0000078,th410,th411,
DR0421-25A000020,th421,th429,
P0434-25A0000004,th434,th409,
U0224-25A0000036,th224,th223,
P0434-25A0000010,th434,th409,
U0224-25A0000036,th224,th223,
DR0401-25A000042,th401,th418,
P0434-25A0000008,th434,th409,
PD0214-25A006033,th214,th223,
P0434-25A0000010,th434,th409,
P0434-25A0000008,th434,th409,
DR0435-25A000456,th435,th418,
P0434-25A0000010,th434,th409,
P0434-25A0000010,th434,th409,
PD0407-25A000610,th407,th223,
PD0224-25A003847,th224,th223,
P0434-25A0000010,th434,th409,
U0413-25A0000047,th413,th214,
P0434-25A0000010,th434,th409,
P0224-25A0000178,th224,th223,
U0224-25A0000020,th224,th223,
P0411-25A0000052,th411,th402,
U0224-25A0000031,th224,th223,
DR0408-25A000107,th408,th418,
P0434-25A0000010,th434,th409,
P0434-25A0000010,th434,th409,
P0434-25A0000008,th434,th409,
U0224-25A0000036,th224,th223,
P0434-25A0000002,th434,th409,
P0434-25A0000008,th434,th409,
P0213-25A0000060,th213,th429,
DR0224-25A000140,th224,th223,
U0224-25A0000031,th224,th223,
U0224-25A0000008,th224,th223,
P0429-25A0000074,th429,th421,
P0224-25A0000530,th224,th427,
P0411-25A0000050,th411,th402,
P0224-25A0000377,th224,th428,
P0434-25A0000010,th434,th409,
DR0424-25A000006,th424,th418,
P0434-25A0000003,th434,th409,
DR0413-25A000965,th413,th429,
DR0435-25A000444,th435,th418,
DR0214-25A002594,th214,th417,
DR0224-25A000109,th224,th223,
U0224-25A0000078,th224,th223,
P0425-25A0000046,th425,th427,
P0428-25A0000554,th428,th224,
U0224-25A0000031,th224,th223,
P0425-25A0000046,th425,th427,
U0224-25A0000073,th224,th223,
P0428-25A0000566,th428,th224,
DR0224-25A000068,th224,th223,
U0224-25A0000062,th224,th223,
U0406-25A0000001,th406,th205,
U0224-25A0000031,th224,th223,
DR0428-25A000013,th428,th223,
DR0421-25A000020,th421,th429,
DR0224-25A000068,th224,th223,
PD0406-25A000516,th406,th205,
DR0224-25A000111,th224,th223,
PD0224-25A004263,th224,th223,
DR0434-25A000008,th434,th410,
DR0411-25A000015,th411,th403,
PD0406-25A000567,th406,th205,
DR0224-25A000091,th224,th223,
U0224-25A0000065,th224,th223,
U0224-25A0000086,th224,th425,
P0224-25A0000195,th224,th427,
DR0434-25A000008,th434,th410,
U0224-25A0000047,th224,th223,
P0434-25A0000009,th434,th410,
DR0428-25A000063,th428,th223,
U0428-25A0000001,th428,th223,
DR0421-25A000006,th421,th429,
U0224-25A0000036,th224,th223,
P0411-25A0000087,th411,th409,
PD0224-25A003991,th224,th223,
U0424-25A0000004,th424,th430,
U0224-25A0000072,th224,th223,
DR0413-25A001218,th413,th418,
DR0428-25A000001,th428,th223,
DR0224-25A000509,th224,th427,
PD0224-25A004445,th224,th223,
U0428-25A0000001,th428,th223,
P0428-25A0000534,th428,th224,
P0434-25A0000008,th434,th409,
P0224-25A0000375,th224,th428,
U0224-25A0000036,th224,th223,
U0428-25A0000025,th428,th223,
P0411-25A0000082,th411,th402,
DR0224-25A000738,th224,th406,
DR0224-25A000053,th224,th223,
DR0406-25A000221,th406,th427,
U0224-25A0000047,th224,th223,
U0428-25A0000020,th428,th223,
U0428-25A0000020,th428,th223,
PD0224-25A005065,th224,th223,
PD0406-25A000550,th406,th223,
PD0407-25A000609,th407,th223,
PD0205-25A002877,th205,th223,
PD0205-25A002874,th205,th223,
DR0413-25A001184,th413,th429,
PD0224-25A004360,th224,th223,
PD0417-25A000145,th417,th214,
DR0406-25A000021,th406,th411,
P0434-25A0000010,th434,th409,
U0224-25A0000056,th224,th223,
P0213-25A0000009,th213,th429,
DR0428-25A000063,th428,th223,
PD0407-25A000578,th407,th223,
P0434-25A0000003,th434,th409,
P0409-25A0000017,th409,th411,
DR0428-25A000015,th428,th223,
U0224-25A0000024,th224,th223,
P0224-25A0000373,th224,th428,
P0224-25A0000202,th224,th425,
DR0224-25A000064,th224,th223,
U0301-25A0000016,th301,th214,
DR0405-25A000071,th405,th427,
P0434-25A0000009,th434,th410,
U0224-25A0000019,th224,th223,
PD0429-25A000661,th429,th401,
U0224-25A0000074,th224,th223,
U0301-25A0000016,th301,th214,
DR0224-25A000529,th224,th401,
U0428-25A0000012,th428,th223,
DR0224-25A000101,th224,th223,
DR0224-25A000055,th224,th223,
DR0428-25A000015,th428,th223,
DR0421-25A000020,th421,th429,
DR0435-25A000456,th435,th418,
U0224-25A0000019,th224,th223,
DR0421-25A000020,th421,th429,
PD0406-25A000699,th406,th223,
PD0224-25A004369,th224,th223,
P0402-25A0000085,th402,th411,
DR0428-25A000048,th428,th223,
U0428-25A0000020,th428,th223,
U0428-25A0000025,th428,th223,
DR0401-25A000042,th401,th418,
PD0424-25A000128,th424,th430,
DR0224-25A000068,th224,th223,
U0224-25A0000059,th224,th223,
P0429-25A0000045,th429,th435,
U0224-25A0000036,th224,th223,
DR0413-25A000891,th413,th214,
DR0224-25A000107,th224,th223,
U0428-25A0000078,th428,th223,
DR0224-25A000068,th224,th223,
DR0224-25A000068,th224,th223,
U0224-25A0000027,th224,th223,
PD0406-25A000645,th406,th223,
U0428-25A0000028,th428,th223,
DR0224-25A000068,th224,th223,
DR0421-25A000020,th421,th429,
DR0413-25A000967,th413,th214,
U0428-25A0000078,th428,th223,
DR0413-25A000967,th413,th214,
PD0407-25A000576,th407,th223,
PD0407-25A000580,th407,th223,
PD0408-25A000837,th408,th223,
U0428-25A0000078,th428,th223,
U0224-25A0000009,th224,th223,
PD0205-25A002357,th205,th401,
PD0406-25A000521,th406,th223,
U0428-25A0000014,th428,th223,
DR0224-25A000100,th224,th223,
DR0406-25A000156,th406,th205,
DR0428-25A000015,th428,th223,
U0224-25A0000065,th224,th223,
P0434-25A0000004,th434,th409,
U0428-25A0000034,th428,th223,
U0224-25A0000073,th224,th223,
DR0425-25A000021,th425,th223,
DR0428-25A000063,th428,th223,
PD0224-25A004685,th224,th223,
DR0224-25A000654,th224,th418,
U0224-25A0000033,th224,th223,
P0434-25A0000010,th434,th409,
P0434-25A0000010,th434,th409,
P0434-25A0000010,th434,th409,
U0224-25A0000060,th224,th223,
P0425-25A0000076,th425,th427,
DR0428-25A000063,th428,th223,
PD0407-25A000583,th407,th223,
U0428-25A0000070,th428,th223,
P0213-25A0000036,th213,th429,
U0224-25A0000020,th224,th223,
U0428-25A0000006,th428,th223,
PD0406-25A000559,th406,th223,
DR0224-25A000134,th224,th223,
DR0428-25A000015,th428,th223,
PD0224-25A004550,th224,th223,
DR0428-25A000063,th428,th223,
DR0421-25A000020,th421,th429,
PD0429-25A000661,th429,th401,
DR0224-25A000068,th224,th223,
DR0421-25A000024,th421,th435,
DR0224-25A000068,th224,th223,
DR0428-25A000001,th428,th223,
DR0428-25A000013,th428,th223,
PD0407-25A000575,th407,th223,
PD0406-25A000502,th406,th223,
DR0425-25A000018,th425,th223,
PD0429-25A000661,th429,th401,
U0428-25A0000053,th428,th223,
DR0428-25A000015,th428,th223,
DR0224-25A000100,th224,th223,
DR0428-25A000056,th428,th223,
PD0425-25A002126,th425,th401,
U0224-25A0000047,th224,th223,
U0224-25A0000009,th224,th223,
DR0401-25A000042,th401,th418,
U0224-25A0000031,th224,th223,
DR0214-25A002942,th214,th435,
P0411-25A0000085,th411,th403,
DR0411-25A000015,th411,th403,
U0224-25A0000065,th224,th223,
DR0428-25A000046,th428,th223,
P0428-25A0000580,th428,th427,
U0224-25A0000069,th224,th223,
U0224-25A0000036,th224,th223,
U0428-25A0000036,th428,th223,
PD0224-25A005065,th224,th223,
PD0224-25A003939,th224,th223,
PD0224-25A004381,th224,th223,
P0224-25A0000372,th224,th428,
DR0224-25A000139,th224,th223,
U0428-25A0000025,th428,th223,
DR0428-25A000013,th428,th223,
PD0224-25A004799,th224,th223,
U0224-25A0000073,th224,th223,
P0434-25A0000009,th434,th410,
DR0428-25A000015,th428,th223,
PD0224-25A004232,th224,th223,
DR0224-25A000134,th224,th223,
PD0425-25A001958,th425,th401,
DR0425-25A000036,th425,th223,
U0224-25A0000012,th224,th223,
DR0428-25A000063,th428,th223,
DR0205-25A000011,th205,th223,
PD0407-25A000587,th407,th223,
DR0428-25A000006,th428,th223,
U0224-25A0000032,th224,th223,
DR0224-25A000040,th224,th223,
PD0429-25A000661,th429,th401,
PD0406-25A000521,th406,th223,
DR0428-25A000020,th428,th223,
PD0408-25A000828,th408,th223,
U0428-25A0000025,th428,th223,
PD0224-25A003979,th224,th223,
DR0213-25A000020,th213,th435,
U0428-25A0000006,th428,th223,
DR0428-25A000054,th428,th223,
U0428-25A0000001,th428,th223,
P0411-25A0000051,th411,th402,
DR0224-25A000051,th224,th223,
U0224-25A0000074,th224,th223,
DR0428-25A000001,th428,th223,
P0428-25A0000545,th428,th224,
PD0406-25A000539,th406,th205,
DR0428-25A000001,th428,th223,
U0428-25A0000007,th428,th223,
U0428-25A0000012,th428,th223,
U0224-25A0000087,th224,th424,
U0428-25A0000064,th428,th223,
PD0406-25A000539,th406,th205,
P0224-25A0000084,th224,th223,
DR0224-25A000101,th224,th223,
U0224-25A0000065,th224,th223,
U0428-25A0000014,th428,th223,
DR0428-25A000054,th428,th223,
PD0224-25A004381,th224,th223,
P0413-25A0000120,th413,th214,
PD0224-25A004381,th224,th223,
U0428-25A0000072,th428,th223,
PD0406-25A000740,th406,th223,
PD0224-25A003991,th224,th223,
PD0205-25A002765,th205,th223,
P0408-25A0000116,th408,th411,
P0434-25A0000010,th434,th409,
U0428-25A0000006,th428,th223,
U0428-25A0000007,th428,th223,
U0428-25A0000064,th428,th223,
U0224-25A0000036,th224,th223,
U0224-25A0000041,th224,th223,
DR0224-25A000093,th224,th223,
U0428-25A0000056,th428,th223,
U0224-25A0000065,th224,th223,
U0224-25A0000072,th224,th223,
DR0425-25A000044,th425,th223,
P0434-25A0000009,th434,th410,
U0428-25A0000064,th428,th223,
PD0224-25A004174,th224,th223,
P0434-25A0000009,th434,th410,
PD0214-25A005258,th214,th223,
U0224-25A0000057,th224,th223,
DR0424-25A000007,th424,th401,
U0224-25A0000017,th224,th223,
U0428-25A0000031,th428,th223,
DR0205-25A000007,th205,th223,
U0428-25A0000064,th428,th223,
DR0408-25A000074,th408,th411,
DR0428-25A000045,th428,th223,
P0428-25A0000528,th428,th427,
PD0224-25A003991,th224,th223,
PD0205-25A002883,th205,th223,
U0224-25A0000060,th224,th223,
U0428-25A0000020,th428,th223,
DR0224-25A000068,th224,th223,
DR0417-25A000095,th417,th436,
DR0413-25A000952,th413,th214,
DR0428-25A000007,th428,th223,
DR0214-25A001738,th214,th435,
DR0425-25A000037,th425,th223,
DR0214-25A002939,th214,th435,
DR0224-25A000068,th224,th223,
U0224-25A0000073,th224,th223,
U0224-25A0000031,th224,th223,
PD0425-25A001987,th425,th223,
DR0224-25A000068,th224,th223,
U0224-25A0000034,th224,th223,
U0224-25A0000073,th224,th223,
PD0405-25A000336,th405,th223,
U0428-25A0000025,th428,th223,
DR0408-25A000107,th408,th418,
DR0224-25A000082,th224,th223,
U0428-25A0000064,th428,th223,
PD0224-25A006813,th224,th427,
DR0428-25A000001,th428,th223,
PD0224-25A004378,th224,th223,
P0425-25A0000046,th425,th427,
U0428-25A0000002,th428,th223,
U0224-25A0000078,th224,th223,
DR0406-25A000009,th406,th223,
P0437-25A0000001,th437,th427,
U0301-25A0000013,th301,th214,
P0434-25A0000008,th434,th409,
U0224-25A0000023,th224,th223,
DR0428-25A000046,th428,th223,
PD0406-25A000636,th406,th205,
DR0428-25A000013,th428,th223,
PD0406-25A000610,th406,th223,
DR0428-25A000015,th428,th223,
U0224-25A0000036,th224,th223,
DR0224-25A000104,th224,th223,
PD0405-25A000388,th405,th223,
DR0428-25A000001,th428,th223,
U0224-25A0000033,th224,th223,
U0301-25A0000002,th301,th214,
U0428-25A0000001,th428,th223,
PD0424-25A000133,th424,th418,
PD0406-25A000554,th406,th223,
DR0224-25A000064,th224,th223,
U0428-25A0000001,th428,th223,
DR0224-25A000029,th224,th223,
U0224-25A0000059,th224,th223,
DR0428-25A000001,th428,th223,
DR0421-25A000020,th421,th429,
DR0428-25A000042,th428,th223,
U0428-25A0000064,th428,th223,
U0224-25A0000014,th224,th223,
DR0428-25A000018,th428,th223,
U0428-25A0000002,th428,th223,
U0428-25A0000001,th428,th223,
U0224-25A0000073,th224,th223,
DR0413-25A000901,th413,th430,
PD0224-25A004204,th224,th223,
U0224-25A0000078,th224,th223,
U0428-25A0000022,th428,th223,
DR0224-25A000104,th224,th223,
DR0205-25A000016,th205,th223,
PD0406-25A000684,th406,th223,
U0428-25A0000014,th428,th223,
PD0406-25A000678,th406,th223,
DR0428-25A000006,th428,th223,
DR0428-25A000022,th428,th223,
PD0224-25A003847,th224,th223,
PD0428-25A001376,th428,th223,
DR0224-25A000068,th224,th223,
U0224-25A0000073,th224,th223,
P0434-25A0000010,th434,th409,
U0224-25A0000068,th224,th223,
U0224-25A0000014,th224,th223,
DR0428-25A000050,th428,th223,
U0428-25A0000036,th428,th223,
U0428-25A0000002,th428,th223,
PD0405-25A000337,th405,th223,
DR0406-25A000156,th406,th205,
U0428-25A0000036,th428,th223,
U0428-25A0000012,th428,th223,
U0428-25A0000064,th428,th223,
U0224-25A0000054,th224,th223,
U0301-25A0000005,th301,th214,
U0428-25A0000002,th428,th223,
U0428-25A0000076,th428,th223,
U0428-25A0000069,th428,th223,
DR0224-25A000101,th224,th223,
PD0224-25A003847,th224,th223,
DR0406-25A000020,th406,th214,
DR0428-25A000007,th428,th223,
U0428-25A0000022,th428,th223,
DR0428-25A000039,th428,th223,
PD0406-25A000739,th406,th223,
PD0406-25A000489,th406,th223,
U0428-25A0000025,th428,th223,
U0428-25A0000065,th428,th223,
U0428-25A0000064,th428,th223,
P0213-25A0000009,th213,th429,
PD0405-25A000350,th405,th223,
PD0405-25A000340,th405,th223,
PD0224-25A004381,th224,th223,
P0434-25A0000010,th434,th409,
DR0224-25A000093,th224,th223,
PD0224-25A004006,th224,th223,
U0428-25A0000028,th428,th223,
U0224-25A0000056,th224,th223,
U0428-25A0000002,th428,th223,
PD0405-25A000389,th405,th223,
PD0205-25A003109,th205,th223,
PD0406-25A000649,th406,th223,
PD0406-25A000678,th406,th223,
PD0429-25A000766,th429,th430,
PD0406-25A000525,th406,th401,
U0224-25A0000020,th224,th223,
PD0405-25A000400,th405,th223,
U0428-25A0000002,th428,th223,
U0224-25A0000060,th224,th223,
U0224-25A0000020,th224,th223,
U0224-25A0000027,th224,th223,
DR0425-25A000155,th425,th427,
U0428-25A0000056,th428,th223,
U0428-25A0000025,th428,th223,
U0428-25A0000002,th428,th223,
DR0428-25A000039,th428,th223,
U0224-25A0000073,th224,th223,
DR0428-25A000054,th428,th223,
DR0428-25A000001,th428,th223,
DR0224-25A000056,th224,th223,
U0428-25A0000007,th428,th223,
U0224-25A0000019,th224,th223,
PD0406-25A000539,th406,th205,
DR0428-25A000015,th428,th223,
DR0224-25A000100,th224,th223,
PD0406-25A000741,th406,th223,
DR0224-25A000137,th224,th223,
