source_debit_note_number,dest_tenant,source_tenant,cancelInvoiceQuery
DR0428-25A000048,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69608 and invoice_no = 'DR0428-25A000048' and status = 'StockHidden';
PD0424-25A000128,th430,th424,UPDATE th430.inward_invoice SET status = 'CANCELLED' WHERE id = 30862 and invoice_no = 'PD0424-25A000128' and status = 'StockHidden';
U0224-25A0000059,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70227 and invoice_no = 'U0224-25A0000059' and status = 'StockHidden';
P0429-25A0000045,th435,th429,UPDATE th435.inward_invoice SET status = 'CANCELLED' WHERE id = 62843 and invoice_no = 'P0429-25A0000045' and status = 'StockHidden';
DR0413-25A000891,th214,th413,UPDATE th214.inward_invoice SET status = 'CANCELLED' WHERE id = 1035686 and invoice_no = 'DR0413-25A000891' and status = 'StockHidden';
DR0224-25A000107,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70417 and invoice_no = 'DR0224-25A000107' and status = 'StockHidden';
U0428-25A0000078,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69563 and invoice_no = 'U0428-25A0000078' and status = 'StockHidden';
U0224-25A0000027,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69009 and invoice_no = 'U0224-25A0000027' and status = 'StockHidden';
PD0406-25A000645,th223,th406,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68985 and invoice_no = 'PD0406-25A000645' and status = 'StockHidden';
U0428-25A0000028,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69326 and invoice_no = 'U0428-25A0000028' and status = 'StockHidden';
DR0413-25A000967,th214,th413,UPDATE th214.inward_invoice SET status = 'CANCELLED' WHERE id = 1041351 and invoice_no = 'DR0413-25A000967' and status = 'StockHidden';
PD0407-25A000576,th223,th407,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69248 and invoice_no = 'PD0407-25A000576' and status = 'StockHidden';
PD0407-25A000580,th223,th407,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69254 and invoice_no = 'PD0407-25A000580' and status = 'StockHidden';
PD0408-25A000837,th223,th408,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68399 and invoice_no = 'PD0408-25A000837' and status = 'StockHidden';
U0224-25A0000009,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68917 and invoice_no = 'U0224-25A0000009' and status = 'StockHidden';
PD0205-25A002357,th401,th205,UPDATE th401.inward_invoice SET status = 'CANCELLED' WHERE id = 52108 and invoice_no = 'PD0205-25A002357' and status = 'StockHidden';
PD0406-25A000521,th223,th406,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68494 and invoice_no = 'PD0406-25A000521' and status = 'StockHidden';
U0428-25A0000014,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69288 and invoice_no = 'U0428-25A0000014' and status = 'StockHidden';
DR0224-25A000100,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70404 and invoice_no = 'DR0224-25A000100' and status = 'StockHidden';
DR0406-25A000156,th205,th406,UPDATE th205.inward_invoice SET status = 'CANCELLED' WHERE id = 551554 and invoice_no = 'DR0406-25A000156' and status = 'StockHidden';
U0428-25A0000034,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69338 and invoice_no = 'U0428-25A0000034' and status = 'StockHidden';
DR0425-25A000021,th223,th425,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70456 and invoice_no = 'DR0425-25A000021' and status = 'StockHidden';
PD0224-25A004685,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69081 and invoice_no = 'PD0224-25A004685' and status = 'StockHidden';
DR0224-25A000654,th418,th224,UPDATE th418.inward_invoice SET status = 'CANCELLED' WHERE id = 29050 and invoice_no = 'DR0224-25A000654' and status = 'StockHidden';
U0224-25A0000033,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70221 and invoice_no = 'U0224-25A0000033' and status = 'StockHidden';
U0224-25A0000060,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70228 and invoice_no = 'U0224-25A0000060' and status = 'StockHidden';
P0425-25A0000076,th427,th425,UPDATE th427.inward_invoice SET status = 'CANCELLED' WHERE id = 181495 and invoice_no = 'P0425-25A0000076' and status = 'StockHidden';
PD0407-25A000583,th223,th407,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69256 and invoice_no = 'PD0407-25A000583' and status = 'StockHidden';
U0428-25A0000070,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69938 and invoice_no = 'U0428-25A0000070' and status = 'StockHidden';
P0213-25A0000036,th429,th213,UPDATE th429.inward_invoice SET status = 'CANCELLED' WHERE id = 140302 and invoice_no = 'P0213-25A0000036' and status = 'StockHidden';
U0428-25A0000006,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69242 and invoice_no = 'U0428-25A0000006' and status = 'StockHidden';
PD0406-25A000559,th223,th406,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68539 and invoice_no = 'PD0406-25A000559' and status = 'StockHidden';
DR0224-25A000134,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70499 and invoice_no = 'DR0224-25A000134' and status = 'StockHidden';
PD0224-25A004550,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69004 and invoice_no = 'PD0224-25A004550' and status = 'StockHidden';
DR0421-25A000024,th435,th421,UPDATE th435.inward_invoice SET status = 'CANCELLED' WHERE id = 64327 and invoice_no = 'DR0421-25A000024' and status = 'StockHidden';
PD0407-25A000575,th223,th407,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69247 and invoice_no = 'PD0407-25A000575' and status = 'StockHidden';
PD0406-25A000502,th223,th406,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68468 and invoice_no = 'PD0406-25A000502' and status = 'StockHidden';
DR0425-25A000018,th223,th425,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70453 and invoice_no = 'DR0425-25A000018' and status = 'StockHidden';
U0428-25A0000053,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69406 and invoice_no = 'U0428-25A0000053' and status = 'StockHidden';
DR0428-25A000056,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69639 and invoice_no = 'DR0428-25A000056' and status = 'StockHidden';
PD0425-25A002126,th401,th425,UPDATE th401.inward_invoice SET status = 'CANCELLED' WHERE id = 50420 and invoice_no = 'PD0425-25A002126' and status = 'StockHidden';
DR0214-25A002942,th435,th214,UPDATE th435.inward_invoice SET status = 'CANCELLED' WHERE id = 63385 and invoice_no = 'DR0214-25A002942' and status = 'StockHidden';
DR0428-25A000046,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69602 and invoice_no = 'DR0428-25A000046' and status = 'StockHidden';
P0428-25A0000580,th427,th428,UPDATE th427.inward_invoice SET status = 'CANCELLED' WHERE id = 182057 and invoice_no = 'P0428-25A0000580' and status = 'StockHidden';
U0428-25A0000036,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69340 and invoice_no = 'U0428-25A0000036' and status = 'StockHidden';
PD0224-25A003939,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68370 and invoice_no = 'PD0224-25A003939' and status = 'StockHidden';
PD0224-25A004381,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68703 and invoice_no = 'PD0224-25A004381' and status = 'StockHidden';
P0224-25A0000372,th428,th224,UPDATE th428.inward_invoice SET status = 'CANCELLED' WHERE id = 48515 and invoice_no = 'P0224-25A0000372' and status = 'StockHidden';
DR0224-25A000139,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70506 and invoice_no = 'DR0224-25A000139' and status = 'StockHidden';
PD0224-25A004799,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69158 and invoice_no = 'PD0224-25A004799' and status = 'StockHidden';
PD0224-25A004232,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68566 and invoice_no = 'PD0224-25A004232' and status = 'StockHidden';
PD0425-25A001958,th401,th425,UPDATE th401.inward_invoice SET status = 'CANCELLED' WHERE id = 52156 and invoice_no = 'PD0425-25A001958' and status = 'StockHidden';
DR0425-25A000036,th223,th425,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70527 and invoice_no = 'DR0425-25A000036' and status = 'StockHidden';
U0224-25A0000012,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70212 and invoice_no = 'U0224-25A0000012' and status = 'StockHidden';
DR0205-25A000011,th223,th205,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69442 and invoice_no = 'DR0205-25A000011' and status = 'StockHidden';
PD0407-25A000587,th223,th407,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69260 and invoice_no = 'PD0407-25A000587' and status = 'StockHidden';
DR0428-25A000006,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69464 and invoice_no = 'DR0428-25A000006' and status = 'StockHidden';
U0224-25A0000032,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69039 and invoice_no = 'U0224-25A0000032' and status = 'StockHidden';
DR0224-25A000040,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69505 and invoice_no = 'DR0224-25A000040' and status = 'StockHidden';
DR0428-25A000020,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69569 and invoice_no = 'DR0428-25A000020' and status = 'StockHidden';
PD0408-25A000828,th223,th408,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68396 and invoice_no = 'PD0408-25A000828' and status = 'StockHidden';
PD0224-25A003979,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70206 and invoice_no = 'PD0224-25A003979' and status = 'StockHidden';
DR0213-25A000020,th435,th213,UPDATE th435.inward_invoice SET status = 'CANCELLED' WHERE id = 63696 and invoice_no = 'DR0213-25A000020' and status = 'StockHidden';
DR0428-25A000054,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69635 and invoice_no = 'DR0428-25A000054' and status = 'StockHidden';
P0411-25A0000051,th402,th411,UPDATE th402.inward_invoice SET status = 'CANCELLED' WHERE id = 221982 and invoice_no = 'P0411-25A0000051' and status = 'StockHidden';
DR0224-25A000051,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69513 and invoice_no = 'DR0224-25A000051' and status = 'StockHidden';
P0428-25A0000545,th224,th428,UPDATE th224.inward_invoice SET status = 'CANCELLED' WHERE id = 924211 and invoice_no = 'P0428-25A0000545' and status = 'StockHidden';
PD0406-25A000539,th205,th406,UPDATE th205.inward_invoice SET status = 'CANCELLED' WHERE id = 538455 and invoice_no = 'PD0406-25A000539' and status = 'StockHidden';
U0428-25A0000007,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69243 and invoice_no = 'U0428-25A0000007' and status = 'StockHidden';
U0224-25A0000087,th424,th224,UPDATE th424.inward_invoice SET status = 'CANCELLED' WHERE id = 20557 and invoice_no = 'U0224-25A0000087' and status = 'StockHidden';
U0428-25A0000064,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69422 and invoice_no = 'U0428-25A0000064' and status = 'StockHidden';
P0224-25A0000084,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69378 and invoice_no = 'P0224-25A0000084' and status = 'StockHidden';
P0413-25A0000120,th214,th413,UPDATE th214.inward_invoice SET status = 'CANCELLED' WHERE id = 1026451 and invoice_no = 'P0413-25A0000120' and status = 'StockHidden';
U0428-25A0000072,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69555 and invoice_no = 'U0428-25A0000072' and status = 'StockHidden';
PD0406-25A000740,th223,th406,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69109 and invoice_no = 'PD0406-25A000740' and status = 'StockHidden';
PD0205-25A002765,th223,th205,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68639 and invoice_no = 'PD0205-25A002765' and status = 'StockHidden';
P0408-25A0000116,th411,th408,UPDATE th411.inward_invoice SET status = 'CANCELLED' WHERE id = 198937 and invoice_no = 'P0408-25A0000116' and status = 'StockHidden';
U0224-25A0000041,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69165 and invoice_no = 'U0224-25A0000041' and status = 'StockHidden';
DR0224-25A000093,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70396 and invoice_no = 'DR0224-25A000093' and status = 'StockHidden';
U0428-25A0000056,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69408 and invoice_no = 'U0428-25A0000056' and status = 'StockHidden';
DR0425-25A000044,th223,th425,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70582 and invoice_no = 'DR0425-25A000044' and status = 'StockHidden';
PD0224-25A004174,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68492 and invoice_no = 'PD0224-25A004174' and status = 'StockHidden';
PD0214-25A005258,th223,th214,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68410 and invoice_no = 'PD0214-25A005258' and status = 'StockHidden';
U0224-25A0000057,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69417 and invoice_no = 'U0224-25A0000057' and status = 'StockHidden';
DR0424-25A000007,th401,th424,UPDATE th401.inward_invoice SET status = 'CANCELLED' WHERE id = 53024 and invoice_no = 'DR0424-25A000007' and status = 'StockHidden';
U0224-25A0000017,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70213 and invoice_no = 'U0224-25A0000017' and status = 'StockHidden';
U0428-25A0000031,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69331 and invoice_no = 'U0428-25A0000031' and status = 'StockHidden';
DR0205-25A000007,th223,th205,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69438 and invoice_no = 'DR0205-25A000007' and status = 'StockHidden';
DR0408-25A000074,th411,th408,UPDATE th411.inward_invoice SET status = 'CANCELLED' WHERE id = 195232 and invoice_no = 'DR0408-25A000074' and status = 'StockHidden';
DR0428-25A000045,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69601 and invoice_no = 'DR0428-25A000045' and status = 'StockHidden';
P0428-25A0000528,th427,th428,UPDATE th427.inward_invoice SET status = 'CANCELLED' WHERE id = 174750 and invoice_no = 'P0428-25A0000528' and status = 'StockHidden';
PD0205-25A002883,th223,th205,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68856 and invoice_no = 'PD0205-25A002883' and status = 'StockHidden';
DR0417-25A000095,th436,th417,UPDATE th436.inward_invoice SET status = 'CANCELLED' WHERE id = 3508 and invoice_no = 'DR0417-25A000095' and status = 'StockHidden';
DR0413-25A000952,th214,th413,UPDATE th214.inward_invoice SET status = 'CANCELLED' WHERE id = 1041157 and invoice_no = 'DR0413-25A000952' and status = 'StockHidden';
DR0428-25A000007,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69465 and invoice_no = 'DR0428-25A000007' and status = 'StockHidden';
DR0214-25A001738,th435,th214,UPDATE th435.inward_invoice SET status = 'CANCELLED' WHERE id = 61681 and invoice_no = 'DR0214-25A001738' and status = 'StockHidden';
DR0425-25A000037,th223,th425,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70570 and invoice_no = 'DR0425-25A000037' and status = 'StockHidden';
DR0214-25A002939,th435,th214,UPDATE th435.inward_invoice SET status = 'CANCELLED' WHERE id = 63383 and invoice_no = 'DR0214-25A002939' and status = 'StockHidden';
PD0425-25A001987,th223,th425,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70173 and invoice_no = 'PD0425-25A001987' and status = 'StockHidden';
U0224-25A0000034,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69040 and invoice_no = 'U0224-25A0000034' and status = 'StockHidden';
PD0405-25A000336,th223,th405,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68576 and invoice_no = 'PD0405-25A000336' and status = 'StockHidden';
DR0224-25A000082,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 113839 and invoice_no = 'DR0224-25A000082' and status = 'StockHidden';
PD0224-25A006813,th427,th224,UPDATE th427.inward_invoice SET status = 'CANCELLED' WHERE id = 182584 and invoice_no = 'PD0224-25A006813' and status = 'StockHidden';
PD0224-25A004378,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68699 and invoice_no = 'PD0224-25A004378' and status = 'StockHidden';
U0428-25A0000002,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69222 and invoice_no = 'U0428-25A0000002' and status = 'StockHidden';
DR0406-25A000009,th223,th406,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69612 and invoice_no = 'DR0406-25A000009' and status = 'StockHidden';
P0437-25A0000001,th427,th437,UPDATE th427.inward_invoice SET status = 'CANCELLED' WHERE id = 182807 and invoice_no = 'P0437-25A0000001' and status = 'StockHidden';
U0301-25A0000013,th214,th301,UPDATE th214.inward_invoice SET status = 'CANCELLED' WHERE id = 1028823 and invoice_no = 'U0301-25A0000013' and status = 'StockHidden';
U0224-25A0000023,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70217 and invoice_no = 'U0224-25A0000023' and status = 'StockHidden';
PD0406-25A000636,th205,th406,UPDATE th205.inward_invoice SET status = 'CANCELLED' WHERE id = 538457 and invoice_no = 'PD0406-25A000636' and status = 'StockHidden';
PD0406-25A000610,th223,th406,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68834 and invoice_no = 'PD0406-25A000610' and status = 'StockHidden';
DR0224-25A000104,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70412 and invoice_no = 'DR0224-25A000104' and status = 'StockHidden';
PD0405-25A000388,th223,th405,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70247 and invoice_no = 'PD0405-25A000388' and status = 'StockHidden';
U0301-25A0000002,th214,th301,UPDATE th214.inward_invoice SET status = 'CANCELLED' WHERE id = 1027282 and invoice_no = 'U0301-25A0000002' and status = 'StockHidden';
PD0424-25A000133,th418,th424,UPDATE th418.inward_invoice SET status = 'CANCELLED' WHERE id = 24863 and invoice_no = 'PD0424-25A000133' and status = 'StockHidden';
PD0406-25A000554,th223,th406,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68535 and invoice_no = 'PD0406-25A000554' and status = 'StockHidden';
DR0224-25A000029,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69500 and invoice_no = 'DR0224-25A000029' and status = 'StockHidden';
DR0428-25A000042,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69600 and invoice_no = 'DR0428-25A000042' and status = 'StockHidden';
U0224-25A0000014,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68952 and invoice_no = 'U0224-25A0000014' and status = 'StockHidden';
DR0428-25A000018,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69550 and invoice_no = 'DR0428-25A000018' and status = 'StockHidden';
DR0413-25A000901,th430,th413,UPDATE th430.inward_invoice SET status = 'CANCELLED' WHERE id = 31336 and invoice_no = 'DR0413-25A000901' and status = 'StockHidden';
PD0224-25A004204,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68525 and invoice_no = 'PD0224-25A004204' and status = 'StockHidden';
U0428-25A0000022,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69314 and invoice_no = 'U0428-25A0000022' and status = 'StockHidden';
DR0205-25A000016,th223,th205,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69446 and invoice_no = 'DR0205-25A000016' and status = 'StockHidden';
PD0406-25A000684,th223,th406,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69074 and invoice_no = 'PD0406-25A000684' and status = 'StockHidden';
PD0406-25A000678,th223,th406,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69057 and invoice_no = 'PD0406-25A000678' and status = 'StockHidden';
DR0428-25A000022,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69572 and invoice_no = 'DR0428-25A000022' and status = 'StockHidden';
PD0428-25A001376,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69937 and invoice_no = 'PD0428-25A001376' and status = 'StockHidden';
U0224-25A0000068,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69496 and invoice_no = 'U0224-25A0000068' and status = 'StockHidden';
DR0428-25A000050,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69631 and invoice_no = 'DR0428-25A000050' and status = 'StockHidden';
PD0405-25A000337,th223,th405,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68577 and invoice_no = 'PD0405-25A000337' and status = 'StockHidden';
U0224-25A0000054,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69379 and invoice_no = 'U0224-25A0000054' and status = 'StockHidden';
U0301-25A0000005,th214,th301,UPDATE th214.inward_invoice SET status = 'CANCELLED' WHERE id = 1027287 and invoice_no = 'U0301-25A0000005' and status = 'StockHidden';
U0428-25A0000076,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69559 and invoice_no = 'U0428-25A0000076' and status = 'StockHidden';
U0428-25A0000069,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69463 and invoice_no = 'U0428-25A0000069' and status = 'StockHidden';
DR0406-25A000020,th214,th406,UPDATE th214.inward_invoice SET status = 'CANCELLED' WHERE id = 1038534 and invoice_no = 'DR0406-25A000020' and status = 'StockHidden';
DR0428-25A000039,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69597 and invoice_no = 'DR0428-25A000039' and status = 'StockHidden';
PD0406-25A000739,th223,th406,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69108 and invoice_no = 'PD0406-25A000739' and status = 'StockHidden';
PD0406-25A000489,th223,th406,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68455 and invoice_no = 'PD0406-25A000489' and status = 'StockHidden';
U0428-25A0000065,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69423 and invoice_no = 'U0428-25A0000065' and status = 'StockHidden';
PD0405-25A000350,th223,th405,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68587 and invoice_no = 'PD0405-25A000350' and status = 'StockHidden';
PD0405-25A000340,th223,th405,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70246 and invoice_no = 'PD0405-25A000340' and status = 'StockHidden';
PD0224-25A004006,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68417 and invoice_no = 'PD0224-25A004006' and status = 'StockHidden';
PD0405-25A000389,th223,th405,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68648 and invoice_no = 'PD0405-25A000389' and status = 'StockHidden';
PD0205-25A003109,th223,th205,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69175 and invoice_no = 'PD0205-25A003109' and status = 'StockHidden';
PD0406-25A000649,th223,th406,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68986 and invoice_no = 'PD0406-25A000649' and status = 'StockHidden';
PD0429-25A000766,th430,th429,UPDATE th430.inward_invoice SET status = 'CANCELLED' WHERE id = 30413 and invoice_no = 'PD0429-25A000766' and status = 'StockHidden';
PD0406-25A000525,th401,th406,UPDATE th401.inward_invoice SET status = 'CANCELLED' WHERE id = 50205 and invoice_no = 'PD0406-25A000525' and status = 'StockHidden';
PD0405-25A000400,th223,th405,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68653 and invoice_no = 'PD0405-25A000400' and status = 'StockHidden';
DR0425-25A000155,th427,th425,UPDATE th427.inward_invoice SET status = 'CANCELLED' WHERE id = 182183 and invoice_no = 'DR0425-25A000155' and status = 'StockHidden';
