source_debit_note_number,source_tenant,dest_tenant,updateInvoiceDetailsQuery,updateUnifiedVendorQuery,deletePurchaseIssueInvoiceQuery
P0413-25A0000217,th413,th214,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 44426 AND invoice_id = 17008 AND invoice_no = 'A0214-24A0000699';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 44426 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 44426 AND invoice_id = 17008 AND invoice_no = 'A0214-24A0000699';
P0413-25A0000217,th413,th214,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 44443 AND invoice_id = 9182 AND invoice_no = 'MU214/23/A000382';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 44443 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 44443 AND invoice_id = 9182 AND invoice_no = 'MU214/23/A000382';
P0413-25A0000217,th413,th214,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 44529 AND invoice_id = 3730 AND invoice_no = 'AF22-23-1703';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 44529 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 44529 AND invoice_id = 3730 AND invoice_no = 'AF22-23-1703';
P0413-25A0000217,th413,th214,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 44674 AND invoice_id = 25719 AND invoice_no = 'T0214-25A0008577';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 44674 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 44674 AND invoice_id = 25719 AND invoice_no = 'T0214-25A0008577';
P0413-25A0000217,th413,th214,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 44701 AND invoice_id = 9182 AND invoice_no = 'MU214/23/A000382';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 44701 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 44701 AND invoice_id = 9182 AND invoice_no = 'MU214/23/A000382';
P0413-25A0000217,th413,th214,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 44787 AND invoice_id = 9182 AND invoice_no = 'MU214/23/A000382';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 44787 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 44787 AND invoice_id = 9182 AND invoice_no = 'MU214/23/A000382';
P0417-25A0000048,th417,th214,"UPDATE th417.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 25113 AND invoice_id = 35447 AND invoice_no = 'T0421-25A0000173';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 25113 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th417';",DELETE FROM th417.purchase_issue_invoice WHERE purchase_issue_id = 25113 AND invoice_id = 35447 AND invoice_no = 'T0421-25A0000173';
P0417-25A0000043,th417,th214,"UPDATE th417.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 24996 AND invoice_id = 4997 AND invoice_no = 'AR22-22-7067';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 24996 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th417';",DELETE FROM th417.purchase_issue_invoice WHERE purchase_issue_id = 24996 AND invoice_id = 4997 AND invoice_no = 'AR22-22-7067';
P0413-25A0000214,th413,th214,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 44320 AND invoice_id = 3844 AND invoice_no = 'AR22-23-1232';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 44320 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 44320 AND invoice_id = 3844 AND invoice_no = 'AR22-23-1232';
P0413-25A0000214,th413,th214,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 44467 AND invoice_id = 6146 AND invoice_no = 'MU214/23/A000358';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 44467 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 44467 AND invoice_id = 6146 AND invoice_no = 'MU214/23/A000358';
P0413-25A0000214,th413,th214,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 44506 AND invoice_id = 9045 AND invoice_no = 'A0214-24A0000153';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 44506 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 44506 AND invoice_id = 9045 AND invoice_no = 'A0214-24A0000153';
P0417-25A0000052,th417,th429,"UPDATE th417.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 24500 AND invoice_id = 38544 AND invoice_no = 'T0214-25A0004528';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 24500 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 191768 AND tenant = 'th417';",DELETE FROM th417.purchase_issue_invoice WHERE purchase_issue_id = 24500 AND invoice_id = 38544 AND invoice_no = 'T0214-25A0004528';
P0435-25A0000019,th435,th214,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 3249 AND invoice_id = 24074 AND invoice_no = 'T0214-25A0005496';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 3249 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 3249 AND invoice_id = 24074 AND invoice_no = 'T0214-25A0005496';
P0435-25A0000019,th435,th214,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 3253 AND invoice_id = 35288 AND invoice_no = 'T0214-25A0006723';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 3253 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 3253 AND invoice_id = 35288 AND invoice_no = 'T0214-25A0006723';
P0435-25A0000019,th435,th214,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 3371 AND invoice_id = 35111 AND invoice_no = 'T0214-25A0006115';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 3371 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 3371 AND invoice_id = 35111 AND invoice_no = 'T0214-25A0006115';
P0435-25A0000019,th435,th214,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 3375 AND invoice_id = 38339 AND invoice_no = 'T0214-25A0004093';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 3375 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 3375 AND invoice_id = 38339 AND invoice_no = 'T0214-25A0004093';
P0435-25A0000019,th435,th214,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 3377 AND invoice_id = 34945 AND invoice_no = 'T0214-25A0005780';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 3377 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 3377 AND invoice_id = 34945 AND invoice_no = 'T0214-25A0005780';
P0435-25A0000019,th435,th214,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 3490 AND invoice_id = 35487 AND invoice_no = 'T0214-25A0007031';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 3490 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 3490 AND invoice_id = 35487 AND invoice_no = 'T0214-25A0007031';
P0435-25A0000019,th435,th214,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 3514 AND invoice_id = 34521 AND invoice_no = 'T0214-25A0004907';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 3514 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 3514 AND invoice_id = 34521 AND invoice_no = 'T0214-25A0004907';
P0435-25A0000019,th435,th214,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 3523 AND invoice_id = 24185 AND invoice_no = 'T0214-25A0005758';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 3523 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 3523 AND invoice_id = 24185 AND invoice_no = 'T0214-25A0005758';
P0435-25A0000019,th435,th214,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 3562 AND invoice_id = 3420 AND invoice_no = 'T0214-25A0008339';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 3562 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 3562 AND invoice_id = 3420 AND invoice_no = 'T0214-25A0008339';
P0435-25A0000017,th435,th214,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 3274 AND invoice_id = 38649 AND invoice_no = 'T0214-25A0004949';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 3274 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 3274 AND invoice_id = 38649 AND invoice_no = 'T0214-25A0004949';
P0435-25A0000017,th435,th214,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 3374 AND invoice_id = 38487 AND invoice_no = 'T0214-25A0004457';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 3374 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 3374 AND invoice_id = 38487 AND invoice_no = 'T0214-25A0004457';
P0435-25A0000017,th435,th214,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 3435 AND invoice_id = 38615 AND invoice_no = 'T0214-25A0004826';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 3435 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 3435 AND invoice_id = 38615 AND invoice_no = 'T0214-25A0004826';
P0435-25A0000017,th435,th214,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 3500 AND invoice_id = 38983 AND invoice_no = 'T0214-25A0005723';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 3500 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 3500 AND invoice_id = 38983 AND invoice_no = 'T0214-25A0005723';
P0435-25A0000017,th435,th214,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 3517 AND invoice_id = 34678 AND invoice_no = 'T0214-25A0005210';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 3517 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 3517 AND invoice_id = 34678 AND invoice_no = 'T0214-25A0005210';
P0435-25A0000017,th435,th214,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 3541 AND invoice_id = 38615 AND invoice_no = 'T0214-25A0004826';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 3541 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 3541 AND invoice_id = 38615 AND invoice_no = 'T0214-25A0004826';
P0435-25A0000021,th435,th429,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 2198 AND invoice_id = 40549 AND invoice_no = 'T0429-25A0000676';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 2198 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 191768 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 2198 AND invoice_id = 40549 AND invoice_no = 'T0429-25A0000676';
P0435-25A0000021,th435,th429,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 2514 AND invoice_id = 40962 AND invoice_no = 'T0429-25A0001318';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 2514 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 191768 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 2514 AND invoice_id = 40962 AND invoice_no = 'T0429-25A0001318';
P0435-25A0000021,th435,th429,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 2523 AND invoice_id = 40072 AND invoice_no = 'T0429-25A0000156';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 2523 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 191768 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 2523 AND invoice_id = 40072 AND invoice_no = 'T0429-25A0000156';
P0435-25A0000021,th435,th429,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 2778 AND invoice_id = 40555 AND invoice_no = 'T0429-25A0000687';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 2778 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 191768 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 2778 AND invoice_id = 40555 AND invoice_no = 'T0429-25A0000687';
P0435-25A0000021,th435,th429,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 2802 AND invoice_id = 25324 AND invoice_no = 'T0429-25A0000432';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 2802 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 191768 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 2802 AND invoice_id = 25324 AND invoice_no = 'T0429-25A0000432';
P0435-25A0000021,th435,th429,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 2920 AND invoice_id = 40576 AND invoice_no = 'T0429-25A0000796';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 2920 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 191768 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 2920 AND invoice_id = 40576 AND invoice_no = 'T0429-25A0000796';
P0435-25A0000021,th435,th429,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 2941 AND invoice_id = 25361 AND invoice_no = 'T0429-25A0000537';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 2941 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 191768 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 2941 AND invoice_id = 25361 AND invoice_no = 'T0429-25A0000537';
P0435-25A0000021,th435,th429,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 2942 AND invoice_id = 41573 AND invoice_no = 'T0429-25A0002063';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 2942 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 191768 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 2942 AND invoice_id = 41573 AND invoice_no = 'T0429-25A0002063';
P0435-25A0000021,th435,th429,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 2959 AND invoice_id = 40472 AND invoice_no = 'T0429-25A0000586';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 2959 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 191768 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 2959 AND invoice_id = 40472 AND invoice_no = 'T0429-25A0000586';
P0435-25A0000021,th435,th429,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 2960 AND invoice_id = 40962 AND invoice_no = 'T0429-25A0001318';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 2960 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 191768 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 2960 AND invoice_id = 40962 AND invoice_no = 'T0429-25A0001318';
P0413-25A0000205,th413,th214,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 43657 AND invoice_id = 9041 AND invoice_no = 'A0214-24A0000145';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 43657 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 43657 AND invoice_id = 9041 AND invoice_no = 'A0214-24A0000145';
P0413-25A0000205,th413,th214,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 43719 AND invoice_id = 6360 AND invoice_no = 'MU214/23/A000307';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 43719 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 43719 AND invoice_id = 6360 AND invoice_no = 'MU214/23/A000307';
P0413-25A0000205,th413,th214,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 43721 AND invoice_id = 9182 AND invoice_no = 'MU214/23/A000382';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 43721 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 43721 AND invoice_id = 9182 AND invoice_no = 'MU214/23/A000382';
